id,source_date_accessed,,source_id,short_title,author,year,genre,gender,translator,title,place,fromat,catalogue,notes
1468,GARSIDE1800-1829,20100817,1820A023,Sintram and his Companions,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1820,goth,Male,Julius Charles HARE,"SINTRAM AND HIS COMPANIONS: A ROMANCE. FROM THE GERMAN OF FREDERIC BARON DE LA MOTTE FOUQU&#201;, AUTHOR OF UNDINE, &C","London:                     C. and J. Ollier, Vere Street, Bond Street; and William Blackwood, Edinburgh, 1820","1 vol.  (xiv, 267p). 12&deg;",BL 12547.c.11; EN2 1820: 23; NSTC 2L2874; OCLC 20010620,"Trans. of <i>S&auml;ngerliebe</i> (Stuttgart, 1816). Dedication by the Translator to Robert G. Pennington, Esq"
1547,GARSIDE1800-1829,20100817,1821A032,Minstrel-Love,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1821,goth,Male,George SOANE,"MINSTREL-LOVE; FROM THE GERMAN OF THE AUTHOR OF UNDINE. BY GEORGE SOANE, A. B. IN TWO VOLUMES","London:                     Printed for W. Simpkin & R. Marshall, Stationers' Court, 1821","2 vols (I lx, 256p; II 380p). 12&deg;",BL 12553.e.17; ECB 213; EN2 1821: 34; NSTC 2L2870; OCLC 1461769,"Trans. of <i>Der Zauberring</i> (N&uuml;rnberg, 1812). Dedication 'to Conrad Charles, Freyherr von Ã_Â‹mselnburg, in Berlin, translator of ""The Lady of the Lake"", ""The Bridal of Triermain"" and ""The Antiquary""'. For identification of Gillies as translator, see <a href=""../guide/update4.html"">EN2 Update 4</a> and Publishing Papers (click on link below)"
1887,GARSIDE1800-1829,20100817,1825A029,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1825,goth,Male,Robert Pierce GILLIES,"THE MAGIC RING; A ROMANCE, FROM THE GERMAN OF FREDERICK, BARON DE LA MOTTE FOUQU&#201;. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and Geo. B. Whittaker, London, 1825","3 vols (I xv, 319p; II 344p; III 332p). 12&deg;",BL N.278; ECB 213; EN2 1825: 30; NSTC 2L2906; OCLC 4949935,Introductory Address' dated Apr 1815
1165,GARSIDE1800-1829,20100817,1815A022,"Majolo, The",John GALT,1815,goth,Male,,THE MAJOLO: A TALE,"London:                     Published by H. Colburn, Conduit Street, Hanover Square, 1815",1 vol.  (252p). 12&deg;,Corvey; CME 3-628-48150-3; ECB 222; EN2 1815: 24; xNSTC; OCLC 13313525,Dedication to 'the Right Honourable Earl of Guilford'
1470,GARSIDE1800-1829,20100817,1820A025,"Earthquake, The",John GALT,1820,goth,Male,,"THE EARTHQUAKE; A TALE. BY THE AUTHOR OF ""THE AYRSHIRE LEGATEES."" IN THREE VOLUMES","Edinburgh:                     Printed for William Blackwood: and T. Cadell and W. Davies, Strand, London, 1820",3 vols (I 310p; II 297p; III 276p). 12&deg;,Corvey; CME 3-628-47525-2; EN2 1820: 25; NSTC 2G1364; OCLC 3645759,"Preface is dated 'Covenanters' Close, High Street, Edinburgh, December 31, 1819'. 4 pp. (unn.) 'Advertisement to the Series' placed before preliminaries: half-title reads 'The Circulating Library. Vol. I. Glenfell'. First vol. in 'The Circulating Library' (for the second and third, see <i>Petrarch and Laura</i> (EN2 1820: 28(a)) and <a href=""titleDetails.asp?title=1457""><i>Andrew of Padua</i></a> (EN2 1820: 24)). The last page is mistakenly numbered 238"
1471,GARSIDE1800-1829,20100817,1820A026,Glenfell,John GALT,1820,goth,Male,,"GLENFELL; OR, MACDONALDS AND CAMPBELLS. AN EDINBURGH TALE OF THE NINETEENTH CENTURY","London:                     Printed for Sir Richard Phillips and Co. Bride Court, Bridge Street; sold by W. Sams, opposite St. James's Palace, and to be had of all Booksellers, 1820","1 vol.  (viii, 328p). 12&deg;",E RB.S.39; EN2 1820: 26; NSTC 2G10462; OCLC 21206806,
1549,GARSIDE1800-1829,20100817,1821A034,Annals of the Parish,John GALT,1821,goth,Male,,"ANNALS OF THE PARISH; OR THE CHRONICLE OF DALMAILING; DURING THE MINISTRY OF THE REV. MICAH BALWHIDDER. WRITTEN BY HIMSELF. ARRANGED AND EDITED BY THE AUTHOR OF ""THE AYRSHIRE LEGATEES,"" &C","Edinburgh:                     Printed for William Blackwood; and T. Cadell, Strand, London, 1821",1 vol.  (400p). 12&deg;,Corvey; CME 3-628-47063-3; ECB 222; EN2 1821: 36; NSTC 2G1353; OCLC 4294086,Page facing t.p. bears the legend 'Originally published in Blackwood's Edinburgh Magazine'
1550,GARSIDE1800-1829,20100817,1821A035,"Ayrshire Legatees, The",John GALT,1821,goth,Male,,"THE AYRSHIRE LEGATEES; OR, THE PRINGLE FAMILY. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" &C","Edinburgh:                     Printed for William Blackwood, and T. Cadell, Strand, London, 1821",1 vol.  (303p). 12&deg;,Corvey; CME 3-628-47088-9; EN2 1821: 37; NSTC 2G1357; OCLC 3041402,"Dedication 'to Robert Downie, of Appin, Esquire, M.P. from his friend, the Author'"
1621,GARSIDE1800-1829,20100817,1822A031,"Provost, The",John GALT,1822,goth,Male,,THE PROVOST. BY THE AUTHOR OF ANNALS OF THE PARISH; AYRSHIRE LEGATEES; AND SIR ANDREW WYLIE,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1822",1 vol.  (360p). 12&deg;,E Hall.197.e; ECB 222; EN2 1822: 32; NSTC 2G1392; OCLC 2748214,
1622,GARSIDE1800-1829,20100817,1822A032,"Sir Andrew Wylie, of that Ilk",John GALT,1822,goth,Male,,"SIR ANDREW WYLIE, OF THAT ILK. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for William Blackwood, and T. Cadell, Strand, London, 1822",3 vols (I 336p; II 336p; III 310p). 12&deg;,Corvey; CME 3-628-48706-4; ECB 222; EN2 1822: 33; NSTC 2G1398; OCLC 19938980,"Dedication to Lord Gwydir signed 'Thomas Duffle' and dated Boyle's Land, Salt Market, Glasgow, 1 July 1822. Page facing t.p. states 'Originally printed in Blackwood's Edinburgh Magazine and now reprinted with corrections and additions'"
1623,GARSIDE1800-1829,20100817,1822A033,"Steam-Boat, The",John GALT,1822,goth,Male,,THE STEAM-BOAT. BY THE AUTHOR OF ANNALS OF THE PARISH; AYRSHIRE LEGATEES; SIR ANDREW WYLIE; AND THE PROVOST,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1822","1 vol.  (v, 359p). 12&deg;",Corvey; CME 3-628-48785-4; ECB 222; EN2 1822: 34; NSTC 2G1402; OCLC 2513066,"Dedication to the King, dated Edinburgh, 3 Dec 1822. Colophon in all 3 vols reads 'Printed by George Ramsay & Co. Edinburgh 1822'"
1701,GARSIDE1800-1829,20100817,1823A029,"Entail, The",John GALT,1823,goth,Male,,"THE ENTAIL: OR THE LAIRDS OF GRIPPY. BY THE AUTHOR OF ANNALS OF THE PARISH, SIR ANDREW WYLIE, &C. IN THREE VOLUMES","Edinburgh:                     William Blackwood, and T. Cadell, London, 1823",3 vols (I 321p; II 333p; III 304p). 12&deg;,Corvey; CME 3-628-47610-0; ECB 222; EN2 1823: 32; NSTC 2G1368; OCLC 713212,Lacks a t.p.; the title appears on the front cover
1702,GARSIDE1800-1829,20100817,1823A030,"Gathering, The",John GALT,1823,goth,Male,,"THE GATHERING OF THE WEST: (ORIGINALLY PUBLISHED IN BLACKWOOD'S EDINBURGH MAGAZINE.) BY THE AUTHOR OF THE AYRSHIRE LEGATEES, THE ENTAIL, ANNALS OF THE PARISH, ETC","Edinburgh:                     William Blackwood, and T. Cadell, London, 1823",1 vol.  (131p). 12&deg;,BL N.119(1); EN2 1823: 33; NSTC 2W13387; xOCLC,
1703,GARSIDE1800-1829,20100817,1823A031,Ringan Gilhaize,John GALT,1823,goth,Male,,"RINGAN GILHAIZE; OR THE COVENANTERS. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" ""SIR ANDREW WYLIE,"" ""THE ENTAIL,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Oliver & Boyd, High Street; and G. & W. B. Whittaker, London, 1823",3 vols (I 308p; II 324p; III 323p). 12&deg;,Corvey; CME 3-628-48608-4; ECB 494; EN2 1823: 34; NSTC 2G1396; OCLC 22949383,
1704,GARSIDE1800-1829,20100817,1823A032,"Spaewife, The",John GALT,1823,goth,Male,,"THE SPAEWIFE; A TALE OF THE SCOTTISH CHRONICLES. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" ""RINGAN GILHAIZE,"" &C. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and G. & W. B. Whittaker, Ave-Maria-Lane, London, 1823",3 vols (I 312p; II 318p; III 315p). 12&deg;,Corvey; CME 3-628-48664-5; ECB 552; EN2 1823: 35; NSTC 2G1400; OCLC 1922613,Preface dated 20 Feb 1824
1796,GARSIDE1800-1829,20100817,1824A037,"Bachelor's Wife, The",John GALT,1824,goth,Male,,"THE BACHELOR'S WIFE; A SELECTION OF CURIOUS AND INTERESTING EXTRACTS, WITH CURSORY OBSERVATIONS. BY JOHN GALT, ESQ","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court, and G. & W. B. Whittaker, London, 1824","1 vol.  (vii, 444p). 8&deg;",Corvey; CME 3-628-54796-2; ECB 222; EN2 1824: 37; NSTC 2G1358; OCLC 3526468,"Dedication 'to the Right Honourable Lady Sarah Robinson'. Also containing: <i>The Quarantine, or Tales of Lazaretto</i>, vol. 3, pp. [115]&ndash;314, incorporating 3 tales. 'Advertisement' (vol. 1, 1 p. unn.) states 'The Manuscript of <i>Rothelan</i> not proving sufficient to fill three volumes, three additional Tales have been added, forming part of a design which the Author had some intention of hereafter completing'"
1797,GARSIDE1800-1829,20100817,1824A038,Rothelan,John GALT,1824,goth,Male,,"ROTHELAN; A ROMANCE OF THE ENGLISH HISTORIES. BY THE AUTHOR OF ANNALS OF THE PARISH, RINGAN GILHAIZE, THE SPAEWIFE, &C. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and Geo. B. Whittaker, London, 1824","3 vols (I 299p; II 309p, music; III 314p). 12&deg;",Corvey; CME 3-628-51123-2; ECB 503; EN2 1824: 38; NSTC 2G1397; OCLC 2637026,"Postscript' signed 'B. A. M., Castle-Bromage, 10th Jan. 1826'"
1888,GARSIDE1800-1829,20100817,1825A030,"Omen, The",John GALT,1825,goth,Male,,THE OMEN,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1825",1 vol.  (160p). 8&deg;,BL N.354(1); ECB 423; EN2 1825: 31; NSTC 2G1387; OCLC 11844400,
