id,source,source_date_accessed,source_id,short_title,author,year,genre,gender,translator,title,publication,format,catalogue_numbers,notes,further_editions
51,GARSIDE1800-1829,20100817,1800A051,"Faux Pas, The",Charles LUCAS,1800,?,Male,,"THE FAUX PAS, OR FATAL ATTACHMENT. A NOVEL. IN TWO VOLUMES. BY C. L","London:                     Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall Street, 1800",2 vols (I 272p; II 267p). 12&deg;,CtY-BR In.F275.800; EN2 1800: 47; xESTC; xOCLC,"For tentative author attribution, see <a href=""../guide/update1.html"">EN2 Update 1</a>",
69,GARSIDE1800-1829,20100817,1800A069,"Family Story, A",Horatio SMITH,1800,?,Male,,"A FAMILY STORY, IN THREE VOLUMES. BY MR. SMITH","London:                     Printed by C. Boult, for Crosby and Letterman, Stationers-Court, near Paternoster-Row, 1800",3 vols (I 268p; II 244p; III 262p). 12&deg;,Corvey; CME 3-628-48655-6; EN2 1800: 70; xESTC; xOCLC,"Summers dates 1797, but apparently in error",
70,GARSIDE1800-1829,20100817,1800A070,"Runaway, The",Horatio SMITH,1800,?,Male,,"THE RUNAWAY; OR, THE SEAT OF BENEVOLENCE. A NOVEL. IN FOUR VOLUMES. BY MR. SMITH","London:                     Printed for Crosby and Letterman, Stationers'-Court, Ludgate-Street, 1800",4 vols (I 255p; II 247p; III 267p; IV 261p). 12&deg;,Corvey; CME 3-628-48657-2; EN2 1800: 71; ESTC t196606; xOCLC,,
72,GARSIDE1800-1829,20100817,1800A072,Leopold Warndorf,Henry SUMMERSETT,1800,?,Male,,"LEOPOLD WARNDORF. A NOVEL. IN TWO VOLUMES. BY HENRY SUMMERSETT, AUTHOR OF THE MAD MAN OF THE MOUNTAIN, &C. &C. &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I viii, 294p; II 311p). 12&deg;",BL 12613.aa.20; EM 240: 3; EN2 1800: 73; ESTC t068569; OCLC 43313530,,
78,GARSIDE1800-1829,20100817,1800A078,Fitzmaurice,William Frederick WILLIAMS,1800,?,Male,,"FITZMAURICE: A NOVEL. BY WILLIAM FREDERICK WILLIAMS, AUTHOR OF SKETCHES OF MODERN LIFE; OR, MAN AS HE OUGHT NOT TO BE. IN TWO VOLUMES","London:                     Printed by S. Gosnell. Little Queen Street, for J. Murray and S. Highley, No. 32, Fleet Street; and J. Harding, St. James's Street, 1800","2 vols (I vi, 210p; II 190p). 12&deg;",Corvey; CME 3-628-48965-2; EM 1290: 31; EN2 1800: 78; ESTC 006003; OCLC 36689830,"Vol. 2 imprint differs: 'London: Printed by Luke Hansard, Great Turnstile, Lincoln's-Inn Fields, [etc.]'",
36,GARSIDE1800-1829,20100817,1800A036,"Castle of Eridan, The",Giuseppe A. GRAGLIA,1800,?|castle,Male,,"THE CASTLE OF ERIDAN: OR, THE ENTERTAINING AND SURPRISING HISTORY OF THE VALIANT DON ALVARES, AND THE BEAUTIFUL EUGENIA, DUCHESS OF SAVOY. BY G. A. GRAGLIA","London:                     Printed by H. Baldwin and Son, New Bridge-Street; and sold by T. Hurst, Paternoster-Row, Lackington and Co. Finsbury-Square; Boosey, No. 4, Broad-Street; Vernor and Hood, Poultry; J. Wright, Piccadilly; W. Miller, Old Bond-Street; and all the principal Booksellers in London, 1800","1 vol.  (viii, 248p). 12&deg;",Corvey; CME 3-628-47792-1; ECB 238; EM 7091: 6; EN2 1800: 37; ESTC t073519; OCLC 42206855,ESTC notes pp. iv and 178 misnumbered v and 78; this is matched by the Corvey copy,
48,GARSIDE1800-1829,20100817,1800A048,"Invisible Man, The",Michel-Th&#233;odore LECLERCQ,1800,?|castle,Male,,"THE INVISIBLE MAN, OR DUNCAM CASTLE. IN TWO VOLUMES. FROM THE FRENCH","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800",2 vols (I 227p; II 215p). 12&deg;,BL C.192.a.173; EN2 1800: 50; ESTC t226755; xOCLC,"Trans. of <i>Le chateau de Duncam, ou l'homme invisible</i> (Paris, 1800). Summers attributes to Pigault-Lebrun, but Blakey questions this authorship",
60,GARSIDE1800-1829,20100817,1800A060,"Spirit of the Castle, The",William Charles PROBY,1800,?|castle,Male,,"THE SPIRIT OF THE CASTLE, A ROMANCE. IN TWO VOLUMES. BY WILLIAM CHARLES PROBY, AUTHOR OF THE MYSTERIOUS SEAL, &C","London:                     Printed by J. W. Myers, No 2, Paternoster-Row, for Crosby and Letterman, Stationer's Court, Paternoster-Row, 1800",2 vols (I 264p; II 221p). 12&deg;,Corvey; CME 3-628-48400-6; EN2 1800: 61; ESTC n037353; xOCLC,,Baltimore 1801 (OCLC)
58,GARSIDE1800-1829,20100817,1800A058,Leonard & Gertrude,Johann Heinrich PESTALOZZI,1800,?|gr,Male,Sir J. LEDGARD,"LEONARD & GERTRUDE. A POPULAR STORY, WRITTEN ORIGINALLY IN GERMAN; TRANSLATED INTO FRENCH, AND NOW ATTEMPTED IN ENGLISH; WITH THE HOPE OF ITS BEING USEFUL TO THE LOWER ORDERS OF SOCIETY","Bath:                     Printed and sold by S. Hazard: sold also by Cadell and Davies, Strand, London; Todd, York; Pennington, Kendal; Bulgin, Bristol; and all other Booksellers, 1800",1 vol.  (367p). 12&deg;,BL C.171.bb.2; EM 2555: 13; EN2 1800: 59; ESTC t117390; xOCLC,"Trans. of <i>Lienhard und Gertrud</i> (1st pt. Berlin, 1781; 2nd, 3rd pt. Frankfurt 1783&ndash;85). French translation: <i>L޸onard et Gertrude</i> (1st, 2nd pt. Lausanne, 1784). Dedication to William Wilberforce, Esq., signed 'The Translator'. ECB 443 lists 2 vols Mawman 1825 edn",1824 (another trans.) (NSTC); 1825 (NSTC); Philadelphia 1801 (OCLC)
16,GARSIDE1800-1829,20100817,1800A016,Douglas,Robert BISSET,1800,?|hp,Male,,"DOUGLAS; OR, THE HIGHLANDER. A NOVEL. IN FOUR VOLUMES. BY ROBERT BISSET, L.L.D. AUTHOR OF THE LIFE OF BURKE, &C","London:                     Printed at the Anti-Jacobin Press, by T. Crowder, Temple Lane, Whitefriars; and sold by C. Chapple, Pall Mall; T. Hurst, Paternoster Row; and J. and E. Kerby, Bond Street, 1800","4 vols (I vi, xxviii, 323p; II v, 300p; III viii, 315p; IV xii, 382p). 12&deg;",Corvey; EM 240: 1; EN2 1800: 18; ESTC t068561; OCLC 13276143,"Dedication to 'the most noble George, Marquis of Huntley', dated Sloane Terrace, 1 Feb 1800",Dublin 1800 (NUC)
61,GARSIDE1800-1829,20100817,1800A061,"Cavern of Strozzi, The",Jean Baptiste Joseph REGNAULT-WARIN,1800,?|potgoth,Male,,THE CAVERN OF STROZZI. A VENETIAN TALE,"London:                     William Lane, 1800",1 vol.  12&deg;,No copy of 1st edn located; EN2 1800: 62; xESTC; xOCLC,"Trans. of <i>La Caverne de Strozzi</i> (Paris, 1798). Details mainly from Blakey (copy not seen). OCLC 34315324 describes a 38pp. version published in London by Burkett and Plumpton, 1800; but this is presumably different from the 1-vol. edn published by Lane, reviewed by CR in Mar 1801, where the price is cited as 3s 6d sewed",New York 1801 (OCLC)
67,GARSIDE1800-1829,20100817,1800A067,Mary-Jane,Richard SICKELMORE,1800,?|potgoth,Male,,"MARY-JANE. A NOVEL. IN TWO VOLUMES. BY RICHARD SICKELMORE, AUTHOR OF EDGAR, OR THE PHANTOM OF THE CASTLE, AGNES AND LEONORA; &C. &C","London:                     Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall Street, 1800","2 vols (I 229p, ill.; II 235p). 12&deg;",Corvey; CME 3-628-48691-2; EM 7474: 1; EN2 1800: 68; ESTC t127132; OCLC 7073699,"Dedication to Sir Godfrey Webster, Bart. signed by Richard Sickelmore",
80,GARSIDE1800-1829,20100817,1800A080,Tourville,Revd WYNDHAM,1800,?|potgoth|romance,Male,,"TOURVILLE: OR, THE MYSTERIOUS LOVER: A SENTIMENTAL NOVEL, IN TWO VOLUMES","London:                     Printed for Crosby and Letterman, Stationers Court, Paternoster-Row, 1800","2 vols (I iv, 184p; II 184p). 12&deg;",Corvey; CME 3-628-48764-1; EM 1493: 21; EN2 1800: 79; ESTC n013717; xOCLC,"R. Noble, Printer, Old Bailey' below imprint date. Treated as anonymous in ESTC and NUC: the title however apparently links with <a href=""titleDetails.asp?title=1805A073""><i>Men and Women</i></a> (see EN2 1805: 72), which is attributed to the Revd Mr Wyndham by Summers. However, see <a href=""../guide/update1.html"">EN2 Update 1</a>, under 1808: 18 for a possible connection with Orton Smith",
56,GARSIDE1800-1829,20100817,1800A056,"Tales and Romances, of Ancient and Modern Times",Joseph MOSER,1800,?|romance,Male,,"TALES AND ROMANCES, OF ANCIENT AND MODERN TIMES. IN FIVE VOLUMES. BY JOSEPH MOSER, ESQ. AUTHOR OF TURKISH TALES, HERMIT OF CAUCASUS, TIMOTHY TWIG, MORAL TALES, &C. &C. &C","London:                     Printed by Sampson Low, Berwick Street, Soho; for T. Hurst, Paternoster Row, 1800",5 vols (I 271p; II 244p; III 229p; IV 292p; V 244p). 12&deg;,Corvey; CME 3-628-48337-9; EN2 1800: 57; ESTC n046778; OCLC 29569700,"I Cara Rustines, a Turkish Tale; II The History of Achmet Beg and Sadi. A Turkish Tale; III The Pictures; The Turban, a Turkish Tale; IV Adelfrid, a Christmas Tale; The Cadi of Adrianople; The Adventures of Frank Fidget; V The Greek Alphabet; or, Black and White. The last page of vol. 3 is mistakenly numbered 129",
71,GARSIDE1800-1829,20100817,1800A071,Jaqueline of Olzeburg,Henry SUMMERSETT,1800,?|romance,Male,,"JAQUELINE OF OLZEBURG: OR, FINAL RETRIBUTION. A ROMANCE","London:                     Printed by T. Plummer, Seething-Lane; and sold by Chapple, Pall-Mall; and R. Dutton, Birchin-Lane, Cornhill, 1800",1 vol.  (191p). 12&deg;,Corvey; CME 3-628-47992-4; EM 1010: 16; EN2 1800: 72; ESTC n001023; xOCLC,"Attributed to Summersett on the t.p. of his <a href=""titleDetails.asp?title=1801A065""><i>Martyn of Fenrose</i></a> (EN2 1801: 63)",
76,GARSIDE1800-1829,20100817,1800A076,"Three Spaniards, The",George WALKER,1800,?|romance,Male,,"THE THREE SPANIARDS, A ROMANCE. BY GEORGE WALKER, AUTHOR OF THE VAGABOND, &C. IN THREE VOLUMES","London:                     Printed by Sampson Low, for G. Walker, No. 106, Great Portland Street; and Hurst, No. 32, Paternoster-Row, 1800",3 vols (I 295p; II 262p; III 250p). 12&deg;,Corvey; CME 3-628-48815-X; ECB 619; EN2 1800: 76; ESTC t181013; OCLC 7121375,,"Dublin 1800 (ESTC); 1821 (NSTC); New York 1801 (OCLC); French trans., 1805"
18,GARSIDE1800-1829,20100817,1800A018,Ormond; or the Secret Witness,Charles Brockden BROWN,1800,goth,Male,,"ORMOND; OR THE SECRET WITNESS. BY THE AUTHOR OF WIELAND, ARTHUR MERVYN, &C. &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","1 vol.  (iv, 338p). 12&deg;",Corvey; CME 3-628-47138-9; EN2 1800: 19; ESTC t131855; OCLC 8230783,Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck),"1811 (NSTC); 1822 (OCLC); 1839 (NSTC); German trans., 1802 (ascribed to William Godwin)"
63,GARSIDE1800-1829,20100817,1800A063,"Armenian, The",Johann Christoph Friedrich SCHILLER,1800,goth,Male,Wilhelm RENDER,"THE ARMENIAN; OR, THE GHOST-SEER. A HISTORY FOUNDED ON FACT. TRANSLATED FROM THE GERMAN OF F. SCHILLER, AUTHOR OF THE ROBBERS, DON CARLOS &C. BY THE REV. W. RENDER","London:                     Printed by C. Whittingham, Dean Street, Fetter Lane, for H[.] D. Symonds, Paternoster Row, 1800","4 vols (I vi, 223p; II 243p; III 255p; IV 256p). 12&deg;",BL 1154.i.8; EM 2903: 2; EN2 1800: 64; ESTC t100181; OCLC 7089443,"Trans. of <i>Der Geisterseher. Eine Geschichte aus den Papieren des Grafen von O**</i> (Leipzig, 1789); 2nd and 3rd part continued by X. Y. Z. (i.e. Emanuel Friedrich Wilhelm Ernst Follenius) (Leipzig, 1796&ndash;97). This follows an earlier translation by D. Boileau of Schiller's original first part only, under the title <i>The Ghost-Seer; or the Apparitionist</i> (London, 1795). Imprint in vols 2 and 3 changes to: 'Printed by J. Cundee, Ivy Lane, [etc.]'",Dublin 1800 (ESTC); 1831 (OCLC); Philadelphia 1801 (OCLC)
75,GARSIDE1800-1829,20100817,1800A075,"History of Rinaldo Rinaldini, The",Christian August VULPIUS,1800,goth,Male,John HINCKLEY,"THE HISTORY OF RINALDO RINALDINI, CAPTAIN OF BANDITTI. TRANSLATED FROM THE GERMAN OF VULPIUS. BY I. HINCKLEY, ESQ. IN THREE VOLUMES","London:                     Printed by A. Strahan, Printers-Street, for Longman and Rees, Paternoster-Row; and C. Geisweiler, Parliament-Street, 1800","3 vols (I viii, 269p; II 247p; III 200p). 12&deg;",ViU PZ2.V84H.1800; EN2 1800: 75; ESTC t219039; OCLC 7121022,"Trans. of <i>Rinaldo Rinaldini, der R&auml;uberhauptmann</i> (Leipzig, 1799). Half-titles, drop-head and running-titles all read: 'Rinaldo Rinaldini'. Preface, vol. 1, pp. [iii]&ndash;viii, incorporating 'The Author's Preface [&hellip;] written on St. Rosalia's day 1798'. 8 pp. (unn.) list of 'Books Printed for T. N. Longman and O. Rees' at end of vol. 3. ECB 494 lists Newman edn, 1831","Dublin 1801 (NSTC); 1801 (NSTC); 1831 as <i>Rinaldo Rinaldini, Captain of banditti</i> (NSTC); '4th edn' 1841 (NSTC, OCLC); Charleston, SC, 1814 (OCLC)"
47,GARSIDE1800-1829,20100817,1800A047,Mystery,Francis LATHOM,1800,potgoth,Male,,"MYSTERY, A NOVEL: IN TWO VOLUMES. BY FRANCIS LATHOM, AUTHOR OF MEN AND MANNERS, OF WHICH A NEW EDITION IS JUST PUBLISHED; THE MIDNIGHT BELL; THE CASTLE OF OLLADA, &C","London:                     Printed for H. D. Symonds, Paternoster-Row, by T. Davison, Lombard-Street, White-Friars, 1800","2 vols (I viii, 292p; II 268p). 12&deg;",Corvey; CME 3-628-47961-4; EN2 1800: 49; ESTC t231339; OCLC 6875634,,Dublin 1800 (ESTC)
55,GARSIDE1800-1829,20100817,1800A055,Mordaunt,John MOORE,1800,potgoth,Male,,"MORDAUNT. SKETCHES OF LIFE, CHARACTERS, AND MANNERS, IN VARIOUS COUNTRIES; INCLUDING THE MEMOIRS OF A FRENCH LADY OF QUALITY. BY THE AUTHOR OF ZELUCO & EDWARD","London:                     Printed for G. G. and J. Robinson, Paternoster-Row; S. Hamilton, Falcon-Court, Fleet-Street, 1800","3 vols (I ii, 403p; II ii, 408p; III ii, 460p). 8&deg;",BL 12611.h.16; CME 3-628-48297-6; EM 197: 1; EN2 1800: 56; ESTC t057357; OCLC 3890141,Corvey copy has misbound pages at end of vol. 1,Dublin 1800 (ESTC); Chiswick 1830 (NSTC); New York 1801 (OCLC)
104,GARSIDE1800-1829,20100817,1801A022,Percival,Robert Charles DALLAS,1801,?,Male,,"PERCIVAL, OR NATURE VINDICATED. A NOVEL. BY R. C. DALLAS, ESQ. IN FOUR VOLUMES","London:                     Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1801","4 vols (I xxiv, 315p; II xi, 263p; III xii, 250p; IV viii, 250p). 12&deg;",BL 12612.dd.4; CME 3-628-47395-0; ECB 150; EN2 1801: 20; NSTC D102; OCLC 5759750,"Dedication to 'Her [&hellip;] whose maternal virtues have raised around me a family of young friends', signed R. C. Dallas",2nd edn 1802 (NSTC)
110,GARSIDE1800-1829,20100817,1801A028,"Dream, or Noble Cambrians, The",Robert EVANS,1801,?,Male,,"THE DREAM, OR NOBLE CAMBRIANS. A NOVEL. IN TWO VOLUMES. BY ROBERT EVANS, A.M. AUTHOR OF THE STRANGER","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1801",2 vols (I 304p; II 258p). 12&deg;,CtY-BR In.Ev158.801D; ECB 193; EN2 1801: 26; xNSTC; xOCLC,,
112,GARSIDE1800-1829,20100817,1801A030,"Man of Fortitude, The",Benjamin FRERE,1801,?,Male,,"THE MAN OF FORTITUDE; OR, SCHEDONI IN ENGLAND. IN THREE VOLUMES. BY B. FRERE","London:                     Printed for James Wallis, No. 46, Pater-Noster-Row, 1801",3 vols (I 211p; II 236p; III 213p). 12&deg;,Corvey; CME 3-628-47839-1; ECB 219; EN2 1801: 28; NSTC F1764; xOCLC,"Printer's mark after imprint date reads: 'T. Davison, Lombard-Street, White-Friars'",Philadelphia 1802 (OCLC)
123,GARSIDE1800-1829,20100817,1801A041,Swedish Mysteries,Johanson KIDDERSLAW,1801,?,Male,Anna Maria MACKENZIE,"SWEDISH MYSTERIES, OR HERO OF THE MINES. A TALE. IN THREE VOLUMES. TRANSLATED FROM A SWEDISH MANUSCRIPT, BY JOHANSON KIDDERSLAW, FORMERLY MASTER OF THE ENGLISH GRAMMAR SCHOOL AT UPSAL","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1801","3 vols (I 288p, ill.; II 303p; III 320p). 12&deg;",Corvey; CME 3-628-48793-5; ECB 321; EN2 1801: 39; xNSTC; xOCLC,"Kidderslaw has not been located in Swedish bibliographies and may be a spurious name. Several catalogues attribute directly to Mackenzie; Frank (Item 258) calls this a 'sham translation'. Blakey (copy not seen) gives title as continuing ' [&hellip;] of Dalecarlia', but Corvey copy does not include this",
129,GARSIDE1800-1829,20100817,1801A047,"Infernal Quixote, The",Charles LUCAS,1801,?,Male,,"THE INFERNAL QUIXOTE. A TALE OF THE DAY. IN FOUR VOLUMES. BY CHARLES LUCAS, A.M. AUTHOR OF THE CASTLE OF ST. DONATS, &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1801","4 vols (I viii, 291p, ill.; II 411p; III 348p; IV 375p). 12&deg;",Corvey; CME 3-628-48119-8; ECB 355; EN2 1801: 45; NSTC L2560; OCLC 6901080,,"Dublin 1801 (OCLC); French trans., 1802"
130,GARSIDE1800-1829,20100817,1801A048,"Follies of Fashion, The",Mr LYTTLETON,1801,?,Male,,THE FOLLIES OF FASHION: A DRAMATIC NOVEL. IN THREE VOLUMES,"London:                     Printed by A. Strahan, Printers-Street; for T. N. Longman and O. Rees, Paternoster-Row, 1801",3 vols (I 270p; II 302p; III 324p). 12&deg;,Corvey; CME 3-628-47798-0; ECB 210; EN2 1801: 46; NSTC F995; OCLC 49466320,,
144,GARSIDE1800-1829,20100817,1801A062,Raymond,Richard SICKELMORE,1801,?,Male,,"RAYMOND, A NOVEL. IN TWO VOLUMES. INSCRIBED, BY PERMISSION, TO GEORGE PORTER, ESQ. M.P. BY RICHARD SICKELMORE, AUTHOR OF MARY-JANE, &C","London:                     Printed by W. and C. Spilsbury, Snowhill, for Didier and Tebbett, St. James's Street; and sold by Crosby and Letterman, Stationers Court, Ludgate-Hill, 1801","2 vols (I vii, 267p; II 270p). 12&deg;",Corvey; CME 3-628-48694-7; EN2 1801: 60; NSTC S1916; OCLC 20030320,"Dedication to 'George Porter, Esq. M.P.'. OCLC describes as with list of subscribers (vol. 1, pp. [vii]&ndash;xi); but not found in Corvey copy",
145,GARSIDE1800-1829,20100817,1801A063,Trevanion,Horatio SMITH,1801,?,Male,,"TREVANION; OR, MATRIMONIAL ERRORS. A NOVEL. BY MR. SMITH, AUTHOR OF [&#8230;] ""FAMILY STORY""&#8212;""THE RUNAWAY,"" &C. IN FOUR VOLUMES","London:                     Printed for Earle and Hemet, No. 47, Albemarle Street, Piccadilly, 1801",4 vols (I 211p; II 209p; III 211p; IV 214p). 12&deg;,Corvey; CME 3-628-48658-0; ECB 545; EN2 1801: 61; NSTC S2434; xOCLC,,Dublin 1801 (OCLC 47875270)
148,GARSIDE1800-1829,20100817,1801A066,Splendid Misery,Thomas Skinner SURR,1801,?,Male,,"SPLENDID MISERY. A NOVEL, IN THREE VOLUMES. BY T. S. SURR, AUTHOR OF GEORGE BARNWELL, CONSEQUENCES, &C","London:                     Printed for T. Hurst, Paternoster-Row, 1801/02","3 vols (I (1801) 254p; II (1801) 249p; III (1802) iii, 274p). 12&deg;",BL 12612.dd.1; ECB 570; EN2 1801: 64; NSTC S4393; xOCLC,"Dedication in vol. 3 to Richard Brinsley Sheridan; also Preface in same vol., dated London, Feb 1802","2nd edn 1802 (Corvey, OCLC 21935368), CME 3-628-48738-2; Dublin 1802 (OCLC); 3rd edn 1803 (NSTC); 4th edn 1807 (NSTC); 5th edn 1814 (NSTC); German trans., 1802 [as <i>Graf Latimore, oder die M&auml;rtyrer des Glaubens</i> (RS)]; French trans., 1807 [as <i>Splendeur et souffrance</i> (BN)]"
149,GARSIDE1800-1829,20100817,1801A067,"Daughter of Adoption, The",John THELWALL,1801,?,Male,,"THE DAUGHTER OF ADOPTION; A TALE OF MODERN TIMES. IN FOUR VOLUMES. BY JOHN BEAUFORT, LL.D","London:                     Printed for R. Phillips, St. Paul's Church-Yard; sold by T. Hurst, J. Wallis, and West and Hughes, Paternoster-Row, 1801","4 vols (I iv, 335p; II 324p; III 319p; IV 309p). 12&deg;",Corvey; CME 3-628-47132-X; EN2 1801: 65; NSTC T559; OCLC 7104968,"Printer's mark after imprint date reads: 'T. Davison, White-Friars' (in square brackets). This differs in the 3rd and 4th vols: 'Printed by Davis, Wilks, and Taylor, Chancery-Lane'",Dublin 1801 (BRu ENC)
