581,1610,GARSIDE1800-1829,20100817,1822A020,"Carwin, the Biloquist",Charles Brockden BROWN,1822,goth,Male,,"CARWIN, THE BILOQUIST, AND OTHER AMERICAN TALES AND PIECES. BY CHARLES BROCKDEN BROWN, AUTHOR OF WIELAND, ORMOND, ARTHUR MERVYN, &C. &C. IN THREE VOLUMES","London:                     Printed for Henry Colburn and Co. Public Library, Conduit Street, 1822","3 vols (I iv, 256p; II 287p; III 259p). 12&deg;",Corvey; CME 3-628-47135-4; ECB 78; EN2 1822: 21; NSTC 2B51807; OCLC 8215135,"Editor's Preface mentions 'The incomplete state, in which some of the following posthumous pieces have been left &hellip;'. For the original composition of 'Carwin' in 1798 and its American publication in instalments 1803&ndash;05, see S. W. Reid, 'Brockden Brown in England: Notes on Henry Colburn's 1822 Editions of his Novels', <i>Early American Literature</i> 9 (1974), 188&ndash;95",,BROWN
811,2044,GARSIDE1800-1829,20100817,1827A018,Falkland,Edward George BULWER LYTTON,1827,goth,Male,,FALKLAND,"London:                     Henry Colburn, New Burlington Street, 1827","1 vol.  (ix, 264p). 12&deg;",Corvey; CME 3-628-47168-0; ECB 198; EN2 1827: 18; NSTC 2B57409; OCLC 3940707,"Preface dated London, 7 Mar 1827","1834 (NSTC); New York 1830 (NSTC) [also Philadelphia 1830 (OCLC)]; German trans., 1827; French trans., 1833",BULWER LYTTON
850,2128,GARSIDE1800-1829,20100817,1828A022,Pelham,Edward George BULWER LYTTON,1828,goth,Male,,"PELHAM; OR, THE ADVENTURES OF A GENTLEMAN. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1828",3 vols (I 339p; II 316p; III 366p). 12&deg;,Corvey; CME 3-628-47171-0; ECB 440; EN2 1828: 24; NSTC 2B57442; OCLC 7804717,,"2nd edn 1828 (NSTC); 3rd edn 1829 (OCLC); 1833 (NSTC); 1835 (OCLC); 1839 (NSTC); [at least 2 more edns to 1850]; New York 1829 (NSTC); French trans., 1828; German trans., 1829",BULWER LYTTON
896,2211,GARSIDE1800-1829,20100817,1829A022,Devereux,Edward George BULWER LYTTON,1829,goth,Male,,"DEVEREUX. A TALE. BY THE AUTHOR OF ""PELHAM."" IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I vii, 299p; II 310p; III 344p). 12&deg;",Corvey; CME 3-628-47150-8; ECB 160; EN2 1829: 21; NSTC 2B57397; OCLC 4630009,,"New edn 1829 (OCLC); 1831 (NSTC); 1836 (NSTC);1841 (OCLC); Boston 1829 (OCLC) [also New York 1829 (OCLC)]; French trans., 1829; German trans., 1830",BULWER LYTTON
897,2212,GARSIDE1800-1829,20100817,1829A023,"Disowned, The",Edward George BULWER LYTTON,1829,goth,Male,,"THE DISOWNED. BY THE AUTHOR OF ""PELHAM."" IN FOUR VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","4 vols (I xlix, 384p; II 341p; III 273p; IV 354p). 12&deg;",Corvey; CME 3-628-47166-4; ECB 84; EN2 1829: 22; NSTC 2B57399; OCLC 7434235,"Dedication to William Lytton Bulwer, Esq., dated 8 Nov 1828","2nd edn 1829 (NSTC); 3rd edn 1829 (NSTC); 1835 (NSTC); 1840 (OCLC); 1847 (OCLC); New York 1829 (NSTC); French trans., 1829 [as <i>L'Enfant d«∂∏savou«∂∏</i> (CCFR)]; German trans., 1829 [as <i>Der Versto««Ôene</i> (RS)]",BULWER LYTTON
936,2550,GARSIDE1830-1836,20110421,1833:013,,"[BULWER LYTTON, Edward George]",1833,goth,Male,,GODOLPHIN. A NOVEL. IN THREE VOLUMES.,,,,,"2nd edn. 1833 as <i>Godolphin, or, the Oath</i> (NSTC, OCLC; BP: 7 Aug 1833, 31s 6d boards; Bentley MS List: 250 copies); 1840 (OCLC); 1844 (OCLC); 1850 (NSTC, OCLC); 1850 (OCLC); [at least 5 more edns. to 1870]; Philadelphia 1833 (OCLC); German trans., 1834; French trans., 1836; Danish trans., 1858.","BULWER LYTTON, Edward George]"
635,1694,GARSIDE1800-1829,20100817,1823A022,Peter Schlemihl,Adelbert von CHAMISSO,1823,goth,Male,Sir John BOWRING,PETER SCHLEMIHL: FROM THE GERMAN OF LAMOTTE FOUQU&#201;. WITH PLATES BY GEORGE CRUICKSHANK,"London:                     G. and W. B. Whittaker, Ave-Maria Lane, 1823","1 vol.  (xii, 165p, ill.). 12&deg;",MH HEW.3.9.6; ECB 213; EN2 1823: 26; NSTC 2C14268; OCLC 3689706,"Trans. of <i>Peter Schlemihls wundersame Geschichte</i> (N&uuml;rnberg, 1814), ed. by Friedrich de la Motte Fouqu«∂∏","1st edn 2nd issue 1824 (NSTC); 1st edn 3rd issue 1824 (NSTC); 2nd edn 1824 (NSTC); 1843 (another trans., as <i>The Wonderful History of Peter Schlemihl</i> (OCLC);  Boston 1824 (NSTC)",CHAMISSO
193,516,GARSIDE1800-1829,20100817,1806A069,Wolf,Georg Philipp Ludwig Leonhard W&#196;CHTER,1806,goth,Male,James POWELL,"WOLF; OR, THE TRIBUNAL OF BLOOD: A ROMANCE, FROM THE ORIGINAL GERMAN OF VEIT WEBER, AUTHOR OF THE SORCERER, BLACK VALLEY, &C. BY J. POWELL, TRANSLATOR OF ""THE VILLAGE OF FRIEDEWALDE,"" &C. &C. IN TWO VOLUMES","London:                     Printed for J. F. Hughes, 5, Wigmore-Street, Cavendish-Square, by R. Wilks, 89, Chancery-Lane, 1806",2 vols (I 193p; II 173p). 12&deg;,BL 12548.bb.41; EN2 1806: 67; NSTC W1007; xOCLC,"Trans. of <i>Wolf</i> in: <i>Sagen der Vorzeit</i>, vol. 2 (Berlin, 1788). Verso of vol. 2, p. 173 [Notice] stating: 'The whole of the Works of Weber, that have not yet appeared in English, are now translating from the original German, by J. Powell, and will shortly be published.'",,CHTER
760,1973,GARSIDE1800-1829,20100817,1826A024,"Last of the Mohicans, The",James Fenimore COOPER,1826,goth,Male,,"THE LAST OF THE MOHICANS; A NARRATIVE OF 1757. BY THE AUTHOR OF ""THE SPY,"" ""THE PILOT,"" ""THE PIONEERS,"" &C. &C. IN THREE VOLUMES","London:                     John Miller, New Bridge Street, 1826","3 vols (I xi, 287p; II 276p; III 295p). 12&deg;",Corvey; ECB 134; EN2 1826: 25; NSTC 2C36830; OCLC 1538248,"Originally published Philadelphia 1826 (Blanck, OCLC)",1831 (NSTC); 1834 (OCLC); 1836 (NSTC); 1838 (NSTC); 1839 (OCLC); [at least 3 more edns to 1850],COOPER
926,2312,GARSIDE1830-1836,20110421,1830:040,The Water Witch,"COOPER, James Fenimore",1830,goth,Male,,"THE WATER WITCH; OR, THE SKIMMER OF THE SEAS. A TALE. BY THE AUTHOR OF """"THE BORDERERS,"""" """"THE PRAIRIE,"""" &C.; &C.; IN THREE VOLUMES.",,,,,"revised and corrected, with a new preface, 1834 (NSTC, OCLC; BP: 30 Jan 1834, 6s boards); 1835 (OCLC); 1837 (OCLC); [1839] (NSTC, OCLC); 1844 (OCLC); [at least 9 more edns. to 1870]; Philadelphia 1831 (Blanck); German trans., 1830; French trans., 1831.","COOPER, James Fenimore"
352,898,GARSIDE1800-1829,20100817,1811A029,"Mysterious Hand, The",Augustus Jacob CRANDOLPH,1811,goth,Male,,"THE MYSTERIOUS HAND; OR, SUBTERRANEAN HORROURS! A ROMANCE. IN THREE VOLUMES. BY AUGUSTUS JACOB CRANDOLPH","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, & Co.) Leadenhall-Street, 1811","3 vols (I ii, 218p; II 217p; III 254p). 12&deg;",Corvey; CME 3-628-47350-0; ECB 479; EN2 1811: 28; NSTC C4094; xOCLC,"Dedication 'to Her Royal Highness, The Princess Mary', dated Nov 1810. Novel dated Jan 1811 at end of vol. 3. ECB lists under Randolph (A. J.)","French trans., 1819",CRANDOLPH
900,2220,GARSIDE1800-1829,20100817,1829A031,Legends of the Lakes,Thomas Crofton CROKER,1829,goth,Male,,"LEGENDS OF THE LAKES; OR, SAYINGS AND DOINGS AT KILLARNEY. COLLECTED CHIEFLY FROM THE MANUSCRIPTS OF R. ADOLPHUS LYNCH, ESQ. H.P. KING'S GERMAN LEGION. BY T. CROFTON CROKER","London:                     John Ebers and Co. Old Bond Street, 1829","2 vols (I viii, 245p, ill., map, music; II vi, 247p, ill., music). 8&deg;",Corvey; CME 3-628-51008-2; ECB 144; EN2 1829: 29; NSTC 2C43658; OCLC 1922680,"Dedication 'to Miss Edgeworth, of Edgeworth's Town, Ireland'. Vol. 2, pp. [245]&ndash;247 contains 'Topographical Index'","1831 in 'condensed and popular form' as <i>Killarney Legends</i> (Corvey, OCLC)",CROKER
582,1614,GARSIDE1800-1829,20100817,1822A024,Traditional Tales of the English and Scottish Peasantry,Allan CUNNINGHAM,1822,goth,Male,,"TRADITIONAL TALES OF THE ENGLISH AND SCOTTISH PEASANTRY. BY ALLAN CUNNINGHAM, AUTHOR OF SIR MARMADUKE MAXWELL, A DRAMATIC POEM; &C. IN TWO VOLUMES","London:                     Printed for Taylor and Hessey, Fleet-Street, 1822","2 vols (I x, 322p; II 357p). 12&deg;",Corvey; CME 3-628-51010-4; ECB 147; EN2 1822: 25; NSTC 2C46750; OCLC 4773663,"Preface notes that 'all these stories, with the exception of the first, appeared at different periods in the London Magazine'","2nd edn 1828 (OCLC); German trans., 1823 [as <i>Schottische Erz&auml;hlungen</i> (RS)]",CUNNINGHAM
761,1975,GARSIDE1800-1829,20100817,1826A026,Paul Jones,Allan CUNNINGHAM,1826,goth,Male,,"PAUL JONES; A ROMANCE. BY ALLAN CUNNINGHAM, AUTHOR OF ""SIR MARMADUKE MAXWELL,"" ""TRADITIONAL TALES,"" &C. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd ; Longman, Rees, Orme, Brown & Green, London, 1826",3 vols (I 380p; II 372p; III 371p). 8&deg;,Corvey; CME 3-628-47362-4; ECB 147; EN2 1826: 27; NSTC 2C46742; OCLC 10378564,,"Philadelphia 1827 (NSTC); German trans., 1826",CUNNINGHAM
842,2140,GARSIDE1800-1829,20100817,1828A034,Sir Michael Scott,Allan CUNNINGHAM,1828,goth,Male,,"SIR MICHAEL SCOTT, A ROMANCE, BY ALLAN CUNNINGHAM. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington-Street, 1828","3 vols (I viii, 296p; II 307p; III 307p). 12&deg;",Corvey; CME 3-628-47363-2; ECB 147; EN2 1828: 35; NSTC 2C46747; xOCLC,,"German trans., 1829",CUNNINGHAM
774,1978,GARSIDE1800-1829,20100817,1826A029,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI",1826,goth,Male,,VIVIAN GREY,"London:                     Henry Colburn, New Burlington Street, 1826/27","5 vols (I (1826) 266p; II (1826) 236p; III (1827) 333p; IV (1827) 362p; V (1827) 324p, 25). 12&deg;",Corvey; CME 3-628-48807-9; ECB 165; EN2 1826: 30; NSTC 2D14247; OCLC 7265564,"Last 25 pp. of vol. 5 contain 'Key to Vivian Grey', with the  imprint 'London: Printed for William Marsh, 137, Oxford Street, 1827'","3rd edn 1827 (NSTC); 1834 (NSTC); New York 1826&ndash;27 (OCLC); German trans., 1827",DISRAELI
858,2145,GARSIDE1800-1829,20100817,1828A039,"Voyage of Captain Popanilla, The","Benjamin, Earl of Beaconsfield DISRAELI",1828,goth,Male,,"THE VOYAGE OF CAPTAIN POPANILLA. BY THE AUTHOR OF ""VIVIAN GREY.""","London:                     Henry Colburn, New Burlington Street, 1828","1 vol.  (viii, 243p). 12&deg;",Corvey; CME 3-628-48810-9; ECB 617; EN2 1828: 40; NSTC 2D14249; OCLC 2765477,"Dedication 'to Robert Ward, Esq., &c. &c. &c. of Chesham Woburn Hall, in the County of Bucks'",1829 (NSTC); Philadelphia 1828 (OCLC),DISRAELI
929,2404,GARSIDE1830-1836,20110421,1831:024,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1831,goth,Male,,"THE YOUNG DUKE. BY THE AUTHOR OF ""VIVIAN GREY."" IN THREE VOLUMES.","London: Henry Colburn and Richard Bentley, New Burlington Street, 1831.",,,,,"DISRAELI, Benjamin, Earl of Beaconsfield]"
937,2558,GARSIDE1830-1836,20110421,1833:021,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1833,goth,Male,,"THE WONDROUS TALE OF ALROY. THE RISE OF ISKANDER. BY THE AUTHOR OF ""VIVIAN GREY,"" ""CONTARINI FLEMING,"" &C.; IN THREE VOLUMES.","London: Saunders and Otley, Conduit Street, 1833.",,,,,"DISRAELI, Benjamin, Earl of Beaconsfield]"
945,3011,RIDDELL_ADDITIONS,20111110,RIDDELL3,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1837,goth,Male,,VENETIA. BY THE AUTHOR OF «œ«¸«™VIVIAN GREY«œ«¸∂ù AND «œ«¸«™HENRIETTA TEMPLE.«œ«¸∂ù IN THREE VOLUMES.,"London: Henry Colburn, Publisher, 13, Great Marlborough Street. 1837.",,,,,"DISRAELI, Benjamin, Earl of Beaconsfield]"
471,1340,GARSIDE1800-1829,20100817,1818A030,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1818,goth,Male,George SOANE,"UNDINE, A ROMANCE. TRANSLATED FROM THE GERMAN. BY GEORGE SOANE, A.B","London:                     Printed for W. Simpkin, and R. Marshall, Stationer's Court, Ludgate Street, 1818",1 vol.  (205p). 12&deg;,BL 12548.dd.4; ECB 213; EN2 1818: 30; NSTC 2L2885; OCLC 6875258,"Trans. of <i>Undine</i> (Berlin, 1811). Dedication to 'Edward Knight, Esq. of the Theatre Royal, Drury Lane'. 'Advertisement' begins: 'It may be right to observe, that in translating this work, I have taken neither few nor trifling liberties with the original'. ECB gives co-publisher as Bell & B[radfute], Edinburgh, but no copy discovered with this imprint","1830 (NSTC); 1843 (NSTC); 1844 (NSTC); Philadelphia 1824 (NSTC); French trans., 1819. Numerous later American and British translations",FOUQU&#201;
521,1468,GARSIDE1800-1829,20100817,1820A023,Sintram and his Companions,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1820,goth,Male,Julius Charles HARE,"SINTRAM AND HIS COMPANIONS: A ROMANCE. FROM THE GERMAN OF FREDERIC BARON DE LA MOTTE FOUQU&#201;, AUTHOR OF UNDINE, &C","London:                     C. and J. Ollier, Vere Street, Bond Street; and William Blackwood, Edinburgh, 1820","1 vol.  (xiv, 267p). 12&deg;",BL 12547.c.11; EN2 1820: 23; NSTC 2L2874; OCLC 20010620,"Trans. of <i>Sintram und seine Gef&auml;hrten</i> (Vienna, 1815)","NSTC includes 4 edns., between 1841 and 1848, at least two of which are another trans",FOUQU&#201;
560,1547,GARSIDE1800-1829,20100817,1821A032,Minstrel-Love,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1821,goth,Male,George SOANE,"MINSTREL-LOVE; FROM THE GERMAN OF THE AUTHOR OF UNDINE. BY GEORGE SOANE, A. B. IN TWO VOLUMES","London:                     Printed for W. Simpkin & R. Marshall, Stationers' Court, 1821","2 vols (I lx, 256p; II 380p). 12&deg;",BL 12553.e.17; ECB 213; EN2 1821: 34; NSTC 2L2870; OCLC 1461769,"Trans. of <i>S&auml;ngerliebe</i> (Stuttgart, 1816). Dedication by the Translator to Robert G. Pennington, Esq","1823 (OCLC); another trans., 1845 (NSTC)",FOUQU&#201;
704,1887,GARSIDE1800-1829,20100817,1825A029,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1825,goth,Male,Robert Pierce GILLIES,"THE MAGIC RING; A ROMANCE, FROM THE GERMAN OF FREDERICK, BARON DE LA MOTTE FOUQU&#201;. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and Geo. B. Whittaker, London, 1825","3 vols (I xv, 319p; II 344p; III 332p). 12&deg;",BL N.278; ECB 213; EN2 1825: 30; NSTC 2L2906; OCLC 4949935,"Trans. of <i>Der Zauberring</i> (N&uuml;rnberg, 1812). Dedication 'to Conrad Charles, Freyherr von «∂_mselnburg, in Berlin, translator of ""The Lady of the Lake"", ""The Bridal of Triermain"" and ""The Antiquary""'. For identification of Gillies as translator, see <a href=""../guide/update4.html"">EN2 Update 4</a> and Publishing Papers (click on link below)",Another trans. 1846 (NSTC),FOUQU&#201;
424,1165,GARSIDE1800-1829,20100817,1815A022,"Majolo, The",John GALT,1815,goth,Male,,THE MAJOLO: A TALE,"London:                     Published by H. Colburn, Conduit Street, Hanover Square, 1815",1 vol.  (252p). 12&deg;,Corvey; CME 3-628-48150-3; ECB 222; EN2 1815: 24; xNSTC; OCLC 13313525,Introductory Address' dated Apr 1815,"1816 (BL 12613.g.6; NSTC 2G1384). This 2-volumed edn contains additional text, as explained in a Preface, vol. 1, pp. [iii]-iv, dated 'Lindsey Place, Chelsea, November 5, 1816. The imprint of the BL copy of this edn reads: 'Printed for T. Faulkner, Bookseller, Paradise Row, Chelsea; and Sherwood, Neely, and Jones, Paternoster Row'. Galt is acknowledged as the author on t.p",GALT
522,1470,GARSIDE1800-1829,20100817,1820A025,"Earthquake, The",John GALT,1820,goth,Male,,"THE EARTHQUAKE; A TALE. BY THE AUTHOR OF ""THE AYRSHIRE LEGATEES."" IN THREE VOLUMES","Edinburgh:                     Printed for William Blackwood: and T. Cadell and W. Davies, Strand, London, 1820",3 vols (I 310p; II 297p; III 276p). 12&deg;,Corvey; CME 3-628-47525-2; EN2 1820: 25; NSTC 2G1364; OCLC 3645759,Dedication to 'the Right Honourable Earl of Guilford',2nd edn 1821 (NSTC); New York 1821 (OCLC),GALT
523,1471,GARSIDE1800-1829,20100817,1820A026,Glenfell,John GALT,1820,goth,Male,,"GLENFELL; OR, MACDONALDS AND CAMPBELLS. AN EDINBURGH TALE OF THE NINETEENTH CENTURY","London:                     Printed for Sir Richard Phillips and Co. Bride Court, Bridge Street; sold by W. Sams, opposite St. James's Palace, and to be had of all Booksellers, 1820","1 vol.  (viii, 328p). 12&deg;",E RB.S.39; EN2 1820: 26; NSTC 2G10462; OCLC 21206806,"Preface is dated 'Covenanters' Close, High Street, Edinburgh, December 31, 1819'. 4 pp. (unn.) 'Advertisement to the Series' placed before preliminaries: half-title reads 'The Circulating Library. Vol. I. Glenfell'. First vol. in 'The Circulating Library' (for the second and third, see <i>Petrarch and Laura</i> (EN2 1820: 28(a)) and <a href=""titleDetails.asp?title=1457""><i>Andrew of Padua</i></a> (EN2 1820: 24)). The last page is mistakenly numbered 238","French trans., 1823",GALT
561,1549,GARSIDE1800-1829,20100817,1821A034,Annals of the Parish,John GALT,1821,goth,Male,,"ANNALS OF THE PARISH; OR THE CHRONICLE OF DALMAILING; DURING THE MINISTRY OF THE REV. MICAH BALWHIDDER. WRITTEN BY HIMSELF. ARRANGED AND EDITED BY THE AUTHOR OF ""THE AYRSHIRE LEGATEES,"" &C","Edinburgh:                     Printed for William Blackwood; and T. Cadell, Strand, London, 1821",1 vol.  (400p). 12&deg;,Corvey; CME 3-628-47063-3; ECB 222; EN2 1821: 36; NSTC 2G1353; OCLC 4294086,,"2nd edn 1822 (NSTC); 1841 (NSTC); 1844 (NSTC); 1845 (NSTC); 1850 (NSTC); Philadelphia 1821 (NSTC); German trans., 1824",GALT
562,1550,GARSIDE1800-1829,20100817,1821A035,"Ayrshire Legatees, The",John GALT,1821,goth,Male,,"THE AYRSHIRE LEGATEES; OR, THE PRINGLE FAMILY. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" &C","Edinburgh:                     Printed for William Blackwood, and T. Cadell, Strand, London, 1821",1 vol.  (303p). 12&deg;,Corvey; CME 3-628-47088-9; EN2 1821: 37; NSTC 2G1357; OCLC 3041402,Page facing t.p. bears the legend 'Originally published in Blackwood's Edinburgh Magazine',"2nd edn (with <i>The Gathering of the West</i>) 1823 (NSTC); 1841 (with <i>Annals of the Parish</i>) (NSTC); 1850 (NSTC); New York 1823 (NSTC); German trans., 1823 [as <i>Die Erben, ein Familiengem&auml;lde</i> (RS)]",GALT
583,1621,GARSIDE1800-1829,20100817,1822A031,"Provost, The",John GALT,1822,goth,Male,,THE PROVOST. BY THE AUTHOR OF ANNALS OF THE PARISH; AYRSHIRE LEGATEES; AND SIR ANDREW WYLIE,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1822",1 vol.  (360p). 12&deg;,E Hall.197.e; ECB 222; EN2 1822: 32; NSTC 2G1392; OCLC 2748214,"Dedication 'to Robert Downie, of Appin, Esquire, M.P. from his friend, the Author'","2nd edn 1822 (Corvey, NSTC); 'new edn' 1842, as <i>The Provost, and other tales</i> (OCLC); New York 1822 (NSTC); French trans., 1824",GALT
584,1622,GARSIDE1800-1829,20100817,1822A032,"Sir Andrew Wylie, of that Ilk",John GALT,1822,goth,Male,,"SIR ANDREW WYLIE, OF THAT ILK. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for William Blackwood, and T. Cadell, Strand, London, 1822",3 vols (I 336p; II 336p; III 310p). 12&deg;,Corvey; CME 3-628-48706-4; ECB 222; EN2 1822: 33; NSTC 2G1398; OCLC 19938980,,"2nd edn 1822 (NSTC); London 1841 (NSTC); 1845 (NSTC); New York 1822 (NSTC); French trans., 1823",GALT
